Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/reverse/10",5.917619816607874e-6,5.890410719997609e-6,5.970879815309069e-6,1.8809173209700345e-7,1.0961829861645738e-7,2.993460743103171e-7
"bench/reverse/100",3.8274441818479725e-4,3.8120798074147273e-4,3.857971977912079e-4,1.0649589866650051e-5,6.315942213558044e-6,1.662813246223262e-5
"bench/reverse/1000",1.5088039766777963e-3,1.5025860201348276e-3,1.5214866529931045e-3,4.369409002286357e-5,2.4571726408049674e-5,7.19469315573581e-5
"bench/intersperse/10",4.835530064537913e-6,4.817866680311868e-6,4.882374212988238e-6,1.3591807243391027e-7,6.09903108156286e-8,2.794472040629869e-7
"bench/intersperse/100",3.110568257925264e-4,3.095741602537386e-4,3.145505520460361e-4,1.1082406754586246e-5,5.09013192667951e-6,2.0828153411569846e-5
"bench/intersperse/200",1.2212201046300866e-3,1.2149584380142834e-3,1.2308816201838798e-3,3.917801889965716e-5,2.8178787388710287e-5,5.35039640494391e-5
