Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/reverse/10",5.871739517910634e-6,5.843816257205686e-6,5.925248036305123e-6,1.9184430360053905e-7,1.1374183349435124e-7,2.987703631571317e-7
"bench/reverse/100",3.944579671410953e-4,3.9275463669239974e-4,3.9814017179633384e-4,1.2252194482250871e-5,5.533123157365085e-6,2.08561083218947e-5
"bench/reverse/1000",1.5662391669609968e-3,1.5579541213372172e-3,1.5800090319970069e-3,5.3337700407993764e-5,3.730958019882314e-5,7.687763298936644e-5
"bench/intersperse/10",4.838524319853406e-6,4.813009762425833e-6,4.885185568644761e-6,1.7154585400564796e-7,1.0963434541440266e-7,2.715999320166668e-7
"bench/intersperse/100",3.160845162237391e-4,3.147186757887111e-4,3.1890381592161515e-4,9.64906533675909e-6,4.947704898925563e-6,1.6054110238532393e-5
"bench/intersperse/200",1.239059735045714e-3,1.2327428347924175e-3,1.2510724551537454e-3,4.323584370005521e-5,2.6218702134446456e-5,6.617174775188525e-5
